d_bad_ms,voi_ms_per_token,k_blind,k_good,k_bad
1.0,0.041058033951835604,3,3,1
2.0,0.012844155773922061,3,3,2
3.0,0.0004777124603636551,3,3,2
4.0,8.881784197001252e-16,3,3,3
5.0,0.0,3,3,3
6.0,0.004017503731317262,3,3,4
7.0,0.010853808804947462,3,3,4
8.0,0.01769011387857855,3,3,4
9.0,0.02452641895220875,3,3,4
10.0,0.028976363646424197,4,3,5
11.0,0.03309766657214919,4,3,5
12.0,0.03721896949787329,4,3,5
13.0,0.04134027242359917,4,3,5
14.0,0.04546157534932416,4,3,5
15.0,0.050237654646664964,4,3,6
16.0,0.05697439496843426,4,3,6
17.0,0.06371113529020178,4,3,6
18.0,0.07044787561197108,4,3,6
19.0,0.07718461593373949,4,3,6
20.0,0.0839213562555079,4,3,6
21.0,0.0906580965772763,4,3,6
22.0,0.09739483689904382,4,3,6
23.0,0.10413157722081401,4,3,6
24.0,0.1123997439918023,4,3,7
25.0,0.12085072026619592,4,3,7
26.0,0.12930169654058776,4,3,7
27.0,0.13775267281498138,4,3,7
28.0,0.1462036490893759,4,3,7
29.0,0.15465462536376862,4,3,7
30.0,0.16310560163816223,4,3,7
31.0,0.17155657791255496,4,3,7
32.0,0.18000755418694858,4,3,7
33.0,0.1884585304613431,4,3,7
34.0,0.19690950673573582,4,3,7
35.0,0.20536048301012855,4,3,7
36.0,0.21453821586721755,4,3,8
37.0,0.22413663862140787,4,3,8
38.0,0.23373506137559907,4,3,8
39.0,0.24333348412979205,4,3,8
40.0,0.2529319068839815,4,3,8
41.0,0.2625303296381727,4,3,8
42.0,0.2721287523923621,4,3,8
43.0,0.2817271751465533,4,3,8
44.0,0.2913255979007463,4,3,8
45.0,0.30092402065493573,4,3,8
46.0,0.31052244340912694,4,3,8
47.0,0.3170197739130547,5,3,8
48.0,0.3224968937415209,5,3,8
49.0,0.3279740135699871,5,3,8
50.0,0.33345113339845334,5,3,8
51.0,0.33892825322691955,5,3,8
52.0,0.34440537305538577,5,3,8
53.0,0.349882492883852,5,3,8
54.0,0.35598092641297185,5,3,9
55.0,0.3622369574878235,5,3,9
56.0,0.36849298856267687,5,3,9
57.0,0.3747490196375285,5,3,9
58.0,0.3810050507123801,5,3,9
59.0,0.3872610817872335,5,3,9
60.0,0.3935171128620851,5,3,9
61.0,0.39977314393693675,5,3,9
62.0,0.40602917501178837,5,3,9
63.0,0.41228520608664176,5,3,9
64.0,0.4185412371614916,5,3,9
65.0,0.4247972682363468,5,3,9
66.0,0.4310532993111984,5,3,9
67.0,0.43730933038604825,5,3,9
68.0,0.4435653614609034,5,3,9
69.0,0.44982139253575326,5,3,9
70.0,0.45607742361060666,5,3,9
71.0,0.4623334546854583,5,3,9
72.0,0.4685894857603099,5,3,9
73.0,0.4748455168351633,5,3,9
74.0,0.4811015479100149,5,3,9
75.0,0.4873575789848683,5,3,9
76.0,0.49361361005971993,5,3,9
77.0,0.49986964113457155,5,3,9
78.0,0.506125672209425,5,3,9
79.0,0.5123817032842748,5,3,9
80.0,0.5191697475124339,5,3,10
81.0,0.5259595689240104,5,3,10
82.0,0.5327493903355833,5,3,10
83.0,0.539539211747158,5,3,10
84.0,0.5463290331587309,5,3,10
85.0,0.5531188545703074,5,3,10
86.0,0.5599086759818821,5,3,10
87.0,0.5666984973934568,5,3,10
88.0,0.5734883188050315,5,3,10
89.0,0.5802781402166062,5,3,10
90.0,0.5870679616281809,5,3,10
91.0,0.5938577830397556,5,3,10
92.0,0.600647604451332,5,3,10
93.0,0.6074374258629067,5,3,10
94.0,0.6142272472744814,5,3,10
95.0,0.6210170686860543,5,3,10
96.0,0.6278068900976308,5,3,10
97.0,0.6345967115092073,5,3,10
98.0,0.6413865329207802,5,3,10
99.0,0.6481763543323531,5,3,10
100.0,0.6549661757439278,5,3,10
101.0,0.6617559971555043,5,3,10
102.0,0.6685458185670807,5,3,10
103.0,0.6740187510545717,6,3,10
104.0,0.6781931350700994,6,3,10
105.0,0.6823675190856324,6,3,10
106.0,0.6865419031011655,6,3,10
107.0,0.690716287116695,6,3,10
108.0,0.6948906711322245,6,3,10
109.0,0.6990650551477557,6,3,10
110.0,0.703239439163287,6,3,10
111.0,0.7074138231788201,6,3,10
112.0,0.7115882071943513,6,3,10
113.0,0.7157625912098808,6,3,10
114.0,0.7199369752254103,6,3,10
115.0,0.7241113592409434,6,3,10
116.0,0.7282857432564764,6,3,10
117.0,0.7327608217345531,6,3,11
118.0,0.7373034004959305,6,3,11
119.0,0.7418459792573113,6,3,11
120.0,0.746388558018694,6,3,11
121.0,0.7509311367800731,6,3,11
122.0,0.7554737155414557,6,3,11
123.0,0.7600162943028348,6,3,11
124.0,0.7645588730642139,6,3,11
125.0,0.7691014518255965,6,3,11
126.0,0.7736440305869774,6,3,11
127.0,0.7781866093483583,6,3,11
128.0,0.7827291881097374,6,3,11
129.0,0.7872717668711182,6,3,11
130.0,0.7918143456324991,6,3,11
131.0,0.79635692439388,6,3,11
132.0,0.8008995031552608,6,3,11
133.0,0.8054420819166417,6,3,11
134.0,0.809984660678019,6,3,11
135.0,0.8145272394393999,6,3,11
136.0,0.8190698182007825,6,3,11
137.0,0.8236123969621651,6,3,11
138.0,0.8281549757235425,6,3,11
139.0,0.8326975544849233,6,3,11
140.0,0.8372401332463042,6,3,11
141.0,0.8417827120076868,6,3,11
142.0,0.8463252907690677,6,3,11
143.0,0.850867869530445,6,3,11
144.0,0.8554104482918259,6,3,11
145.0,0.8599530270532085,6,3,11
146.0,0.8644956058145876,6,3,11
147.0,0.8690381845759703,6,3,11
148.0,0.8735807633373494,6,3,11
149.0,0.8781233420987267,6,3,11
150.0,0.8826659208601093,6,3,11
151.0,0.8872084996214902,6,3,11
152.0,0.891751078382871,6,3,11
153.0,0.8962936571442519,6,3,11
154.0,0.9008362359056328,6,3,11
155.0,0.9053788146670119,6,3,11
156.0,0.9099213934283927,6,3,11
157.0,0.9144639721897754,6,3,11
158.0,0.9190065509511562,6,3,11
159.0,0.9235491297125318,6,3,11
160.0,0.9280917084739144,6,3,11
161.0,0.9326342872352953,6,3,11
162.0,0.9371768659966762,6,3,11
163.0,0.9417194447580588,6,3,11
164.0,0.9462620235194397,6,3,11
165.0,0.9508046022808188,6,3,11
166.0,0.9553471810421978,6,3,11
167.0,0.9598897598035805,6,3,11
168.0,0.9644323385649578,6,3,11
169.0,0.9689749173263422,6,3,11
170.0,0.973614683595418,6,3,12
171.0,0.9784123741425184,6,3,12
172.0,0.9832100646896151,6,3,12
173.0,0.9880077552367119,6,3,12
174.0,0.9928054457838122,6,3,12
175.0,0.997603136330909,6,3,12
176.0,1.0024008268780094,6,3,12
177.0,1.0071985174251061,6,3,12
178.0,1.011996207972203,6,3,12
179.0,1.0167938985193032,6,3,12
180.0,1.0215915890663965,6,3,12
181.0,1.0263892796135003,6,3,12
182.0,1.0311869701605971,6,3,12
183.0,1.035984660707694,6,3,12
184.0,1.0407823512547907,6,3,12
185.0,1.045580041801891,6,3,12
186.0,1.0503777323489913,6,3,12
187.0,1.053575046024882,7,3,12
188.0,1.0566585006193563,7,3,12
189.0,1.059741955213834,7,3,12
190.0,1.0628254098083048,7,3,12
191.0,1.0659088644027754,7,3,12
192.0,1.0689923189972497,7,3,12
193.0,1.0720757735917203,7,3,12
194.0,1.0751592281861981,7,3,12
195.0,1.0782426827806688,7,3,12
196.0,1.081326137375143,7,3,12
197.0,1.0844095919696173,7,3,12
198.0,1.087493046564088,7,3,12
199.0,1.0905765011585657,7,3,12
200.0,1.0936599557530364,7,3,12
201.0,1.0967434103475107,7,3,12
202.0,1.0998268649419813,7,3,12
203.0,1.1029103195364591,7,3,12
204.0,1.1059937741309298,7,3,12
205.0,1.1090772287254005,7,3,12
206.0,1.1121606833198747,7,3,12
207.0,1.1152441379143525,7,3,12
208.0,1.1183275925088232,7,3,12
209.0,1.1214110471032974,7,3,12
210.0,1.124494501697768,7,3,12
211.0,1.1275779562922423,7,3,12
212.0,1.1306614108867201,7,3,12
213.0,1.1337448654811908,7,3,12
214.0,1.1368283200756615,7,3,12
215.0,1.1399117746701357,7,3,12
216.0,1.1429952292646064,7,3,12
217.0,1.1460786838590842,7,3,12
218.0,1.1491621384535549,7,3,12
219.0,1.152245593048029,7,3,12
220.0,1.1553290476424998,7,3,12
221.0,1.158412502236974,7,3,12
222.0,1.1614959568314518,7,3,12
223.0,1.164579411425919,7,3,12
224.0,1.1676628660203967,7,3,12
225.0,1.1707463206148674,7,3,12
226.0,1.173829775209338,7,3,12
227.0,1.1769132298038159,7,3,12
228.0,1.1799966843982865,7,3,12
229.0,1.1830801389927643,7,3,12
230.0,1.1861635935872314,7,3,12
231.0,1.1892470481817057,7,3,12
232.0,1.1923305027761835,7,3,12
233.0,1.1954139573706506,7,3,12
234.0,1.1984974119651284,7,3,12
235.0,1.201580866559599,7,3,12
236.0,1.2046643211540733,7,3,12
237.0,1.2077477757485475,7,3,12
238.0,1.2108312303430182,7,3,12
239.0,1.213914684937496,7,3,12
240.0,1.2169981395319631,7,3,12
241.0,1.2200815941264374,7,3,12
242.0,1.2231650487209151,7,3,12
243.0,1.2262485033153823,7,3,12
244.0,1.22933195790986,7,3,12
245.0,1.2324154125043307,7,3,12
246.0,1.235498867098805,7,3,12
247.0,1.2387104807941363,7,3,13
248.0,1.2419712444366375,7,3,13
249.0,1.245232008079146,7,3,13
250.0,1.2484927717216472,7,3,13
251.0,1.2517535353641485,7,3,13
252.0,1.2550142990066533,7,3,13
253.0,1.2582750626491581,7,3,13
254.0,1.2615358262916665,7,3,13
255.0,1.2647965899341642,7,3,13
256.0,1.268057353576669,7,3,13
257.0,1.2713181172191739,7,3,13
258.0,1.2745788808616716,7,3,13
259.0,1.27783964450418,7,3,13
260.0,1.2811004081466812,7,3,13
261.0,1.2843611717891825,7,3,13
262.0,1.287621935431691,7,3,13
263.0,1.2908826990741922,7,3,13
264.0,1.2941434627167006,7,3,13
265.0,1.2974042263591983,7,3,13
266.0,1.300664990001703,7,3,13
267.0,1.303925753644208,7,3,13
268.0,1.3071865172867057,7,3,13
269.0,1.310447280929214,7,3,13
270.0,1.3137080445717153,7,3,13
271.0,1.3169688082142201,7,3,13
272.0,1.320229571856725,7,3,13
273.0,1.3234903354992262,7,3,13
274.0,1.3267510991417346,7,3,13
275.0,1.3300118627842323,7,3,13
276.0,1.3332726264267372,7,3,13
277.0,1.336533390069242,7,3,13
278.0,1.3397941537117397,7,3,13
279.0,1.343054917354248,7,3,13
280.0,1.3463156809967494,7,3,13
281.0,1.3495764446392542,7,3,13
282.0,1.3528372082817555,7,3,13
283.0,1.3560979719242567,7,3,13
284.0,1.3593587355667651,7,3,13
285.0,1.3626194992092628,7,3,13
286.0,1.3658802628517677,7,3,13
287.0,1.3691410264942725,7,3,13
288.0,1.3724017901367702,7,3,13
289.0,1.3756625537792821,7,3,13
290.0,1.3789233174217834,7,3,13
291.0,1.3821840810642883,7,3,13
292.0,1.385444844706793,7,3,13
293.0,1.3887056083492908,7,3,13
294.0,1.3919663719917992,7,3,13
295.0,1.3952271356343005,7,3,13
296.0,1.3984878992768017,7,3,13
297.0,1.4017486629193066,7,3,13
298.0,1.4050094265618078,7,3,13
299.0,1.4082701902043198,7,3,13
300.0,1.4115309538468175,7,3,13
301.0,1.4147917174893223,7,3,13
302.0,1.4180524811318271,7,3,13
303.0,1.4213132447743249,7,3,13
304.0,1.4245740084168332,7,3,13
305.0,1.4278347720593345,7,3,13
306.0,1.4310955357018358,7,3,13
307.0,1.4343562993443406,7,3,13
308.0,1.4376170629868419,7,3,13
309.0,1.4404949396811801,8,3,13
310.0,1.442608256843883,8,3,13
311.0,1.4447215740065893,8,3,13
312.0,1.4468348911692956,8,3,13
313.0,1.4489482083319984,8,3,13
314.0,1.4510615254947083,8,3,13
315.0,1.4531748426574111,8,3,13
316.0,1.4552881598201175,8,3,13
317.0,1.4574014769828239,8,3,13
318.0,1.4595147941455267,8,3,13
319.0,1.4616281113082366,8,3,13
320.0,1.4637414284709394,8,3,13
321.0,1.4658547456336457,8,3,13
322.0,1.467968062796352,8,3,13
323.0,1.4700813799590584,8,3,13
324.0,1.4721946971217612,8,3,13
325.0,1.4743080142844676,8,3,13
326.0,1.476421331447174,8,3,13
327.0,1.4785346486098838,8,3,13
328.0,1.4806479657725902,8,3,13
329.0,1.482761282935293,8,3,13
330.0,1.4848746000979993,8,3,13
331.0,1.4869879172607057,8,3,13
332.0,1.489101234423412,8,3,13
333.0,1.4912145515861184,8,3,13
334.0,1.4933278687488212,8,3,13
335.0,1.4954411859115275,8,3,13
336.0,1.4975545030742374,8,3,13
337.0,1.4996678202369438,8,3,13
338.0,1.5017811373996501,8,3,13
339.0,1.503894454562353,8,3,13
340.0,1.5060077717250593,8,3,13
341.0,1.5081210888877656,8,3,13
342.0,1.510234406050472,8,3,13
343.0,1.5123477232131783,8,3,13
344.0,1.5144610403758811,8,3,13
345.0,1.516574357538591,8,3,13
346.0,1.5186876747012974,8,3,13
347.0,1.5208009918640037,8,3,13
348.0,1.52291430902671,8,3,13
349.0,1.525027626189413,8,3,13
350.0,1.5271409433521193,8,3,13
351.0,1.5292542605148256,8,3,13
352.0,1.531367577677532,8,3,13
353.0,1.5334808948402383,8,3,13
354.0,1.535594212002941,8,3,13
355.0,1.537707529165651,8,3,13
356.0,1.5398208463283574,8,3,13
357.0,1.542044043420983,8,3,14
358.0,1.5442808606907903,8,3,14
359.0,1.5465176779605976,8,3,14
360.0,1.5487544952304049,8,3,14
361.0,1.5509913125002122,8,3,14
362.0,1.553228129770023,8,3,14
363.0,1.5554649470398338,8,3,14
364.0,1.5577017643096376,8,3,14
365.0,1.5599385815794449,8,3,14
366.0,1.5621753988492522,8,3,14
367.0,1.5644122161190666,8,3,14
368.0,1.5666490333888738,8,3,14
369.0,1.5688858506586776,8,3,14
370.0,1.5711226679284849,8,3,14
371.0,1.5733594851982922,8,3,14
372.0,1.5755963024681066,8,3,14
373.0,1.5778331197379138,8,3,14
374.0,1.5800699370077176,8,3,14
375.0,1.5823067542775249,8,3,14
376.0,1.5845435715473357,8,3,14
377.0,1.5867803888171466,8,3,14
378.0,1.5890172060869538,8,3,14
379.0,1.5912540233567576,8,3,14
380.0,1.5934908406265684,8,3,14
381.0,1.5957276578963757,8,3,14
382.0,1.5979644751661866,8,3,14
383.0,1.6002012924359938,8,3,14
384.0,1.6024381097058047,8,3,14
385.0,1.6046749269756084,8,3,14
386.0,1.6069117442454157,8,3,14
387.0,1.6091485615152266,8,3,14
388.0,1.6113853787850339,8,3,14
389.0,1.6136221960548447,8,3,14
390.0,1.6158590133246484,8,3,14
391.0,1.6180958305944557,8,3,14
392.0,1.6203326478642666,8,3,14
393.0,1.6225694651340739,8,3,14
394.0,1.6248062824038847,8,3,14
395.0,1.6270430996736884,8,3,14
396.0,1.6292799169434957,8,3,14
397.0,1.6315167342133066,8,3,14
398.0,1.6337535514831139,8,3,14
399.0,1.6359903687529247,8,3,14
400.0,1.6382271860227284,8,3,14
401.0,1.6404640032925357,8,3,14
402.0,1.6427008205623466,8,3,14
403.0,1.6449376378321539,8,3,14
404.0,1.6471744551019647,8,3,14
405.0,1.6494112723717684,8,3,14
406.0,1.6516480896415722,8,3,14
407.0,1.6538849069113866,8,3,14
408.0,1.6561217241811903,8,3,14
409.0,1.6583585414510047,8,3,14
410.0,1.6605953587208084,8,3,14
411.0,1.6628321759906122,8,3,14
412.0,1.6650689932604266,8,3,14
413.0,1.6673058105302303,8,3,14
414.0,1.6695426278000447,8,3,14
415.0,1.6717794450698484,8,3,14
416.0,1.6740162623396557,8,3,14
417.0,1.6762530796094666,8,3,14
418.0,1.678489896879281,8,3,14
419.0,1.6807267141490847,8,3,14
420.0,1.682963531418892,8,3,14
421.0,1.6852003486886922,8,3,14
422.0,1.6874371659585101,8,3,14
423.0,1.6896739832283174,8,3,14
424.0,1.6919108004981247,8,3,14
425.0,1.6941476177679284,8,3,14
426.0,1.6963844350377428,8,3,14
427.0,1.6986212523075466,8,3,14
428.0,1.700858069577361,8,3,14
429.0,1.7030948868471647,8,3,14
430.0,1.705331704116972,8,3,14
431.0,1.7075685213867793,8,3,14
432.0,1.7098053386565937,8,3,14
433.0,1.7120421559263974,8,3,14
434.0,1.7142789731962083,8,3,14
435.0,1.7165157904660049,8,3,14
436.0,1.7187526077358228,8,3,14
437.0,1.7209894250056266,8,3,14
438.0,1.7232262422754374,8,3,14
439.0,1.7254630595452483,8,3,14
440.0,1.727699876815052,8,3,14
441.0,1.7299366940848628,8,3,14
442.0,1.7321735113546737,8,3,14
443.0,1.7344103286244774,8,3,14
444.0,1.7366471458942883,8,3,14
445.0,1.738883963164085,8,3,14
446.0,1.7411207804339028,8,3,14
447.0,1.7433575977037066,8,3,14
448.0,1.7455944149735174,8,3,14
449.0,1.7478312322433283,8,3,14
450.0,1.750068049513132,8,3,14
451.0,1.7523048667829428,8,3,14
452.0,1.7545416840527537,8,3,14
453.0,1.7567785013225574,8,3,14
454.0,1.7590153185923683,8,3,14
455.0,1.761252135862165,8,3,14
456.0,1.7634889531319828,8,3,14
457.0,1.7657257704017866,8,3,14
458.0,1.7679625876715974,8,3,14
459.0,1.7701994049414083,8,3,14
460.0,1.772436222211212,8,3,14
461.0,1.7746730394810228,8,3,14
462.0,1.7769098567508337,8,3,14
463.0,1.7791466740206374,8,3,14
464.0,1.7813834912904483,8,3,14
465.0,1.783620308560245,8,3,14
466.0,1.7858571258300628,8,3,14
467.0,1.7880939430998666,8,3,14
468.0,1.7903307603696774,8,3,14
469.0,1.7925675776394883,8,3,14
470.0,1.794804394909292,8,3,14
471.0,1.7970412121791028,8,3,14
472.0,1.7992780294489137,8,3,14
473.0,1.8015148467187174,8,3,14
474.0,1.8037516639885283,8,3,14
475.0,1.805988481258325,8,3,14
476.0,1.8082252985281428,8,3,14
477.0,1.8104621157979466,8,3,14
478.0,1.8126989330677574,8,3,14
479.0,1.8149357503375683,8,3,14
480.0,1.817172567607372,8,3,14
481.0,1.8194093848771828,8,3,14
482.0,1.8216462021469937,8,3,14
483.0,1.8238830194167974,8,3,14
484.0,1.8261198366866083,8,3,14
485.0,1.828356653956405,8,3,14
486.0,1.8305934712262228,8,3,14
487.0,1.8328302884960266,8,3,14
488.0,1.834306347483988,9,3,14
489.0,1.8357642535074206,9,3,14
490.0,1.8372221595308318,9,3,14
491.0,1.8386800655542572,9,3,14
492.0,1.8401379715776827,9,3,14
493.0,1.841595877601101,9,3,14
494.0,1.8430537836245264,9,3,14
495.0,1.8445116896479377,9,3,14
496.0,1.845969595671363,9,3,14
497.0,1.8474275016947885,9,3,14
498.0,1.8488854077182069,9,3,14
499.0,1.8503433137416394,9,3,14
500.0,1.8518012197650577,9,3,14
